Key,Neighbors,Metric,Value,Algorithm
249,20,MAE,0.674921119,SRA
250,20,RMSE,0.880612254,SRA
251,20,HLU,1.419615869,SRA
253,20,SortingAccuracy,0.490022875,SRA
257,20,F1,0.712823938,SRA
260,22,Degree Diversity,0.873074254,Actual Diversity
261,22,Degree Diversity,0.832499207,SRA
262,22,MAE,0.674066663,SRA
263,22,RMSE,0.879715109,SRA
264,22,HLU,1.426863801,SRA
266,22,SortingAccuracy,0.491602822,SRA
270,22,F1,0.713466982,SRA
273,24,Degree Diversity,0.873074254,Actual Diversity
274,24,Degree Diversity,0.833136552,SRA
275,24,MAE,0.67335465,SRA
276,24,RMSE,0.878977621,SRA
277,24,HLU,1.432546605,SRA
279,24,SortingAccuracy,0.492649307,SRA
283,24,F1,0.714126137,SRA
286,26,Degree Diversity,0.873074254,Actual Diversity
287,26,Degree Diversity,0.833648761,SRA
288,26,MAE,0.672722554,SRA
289,26,RMSE,0.878368747,SRA
290,26,HLU,1.437824127,SRA
292,26,SortingAccuracy,0.494056694,SRA
296,26,F1,0.714466083,SRA
299,28,Degree Diversity,0.873074254,Actual Diversity
300,28,Degree Diversity,0.832720523,SRA
301,28,MAE,0.672207606,SRA
302,28,RMSE,0.877834797,SRA
303,28,HLU,1.4422281,SRA
305,28,SortingAccuracy,0.49460027,SRA
309,28,F1,0.715397543,SRA
312,30,Degree Diversity,0.873074254,Actual Diversity
313,30,Degree Diversity,0.832868364,SRA
314,30,MAE,0.67174964,SRA
315,30,RMSE,0.877410758,SRA
316,30,HLU,1.444564899,SRA
318,30,SortingAccuracy,0.495690769,SRA
322,30,F1,0.715625479,SRA
325,32,Degree Diversity,0.873074254,Actual Diversity
326,32,Degree Diversity,0.832915249,SRA
327,32,MAE,0.671365452,SRA
328,32,RMSE,0.877040994,SRA
329,32,HLU,1.448222412,SRA
331,32,SortingAccuracy,0.495870773,SRA
335,32,F1,0.716035514,SRA
338,34,Degree Diversity,0.873074254,Actual Diversity
339,34,Degree Diversity,0.833133068,SRA
340,34,MAE,0.671038663,SRA
341,34,RMSE,0.876755655,SRA
342,34,HLU,1.451500061,SRA
344,34,SortingAccuracy,0.496621066,SRA
348,34,F1,0.716366656,SRA
351,36,Degree Diversity,0.873074254,Actual Diversity
352,36,Degree Diversity,0.833371847,SRA
353,36,MAE,0.670755541,SRA
354,36,RMSE,0.876501977,SRA
355,36,HLU,1.45687315,SRA
357,36,SortingAccuracy,0.49752174,SRA
361,36,F1,0.716582152,SRA
364,38,Degree Diversity,0.873074254,Actual Diversity
365,38,Degree Diversity,0.833500817,SRA
366,38,MAE,0.670480144,SRA
367,38,RMSE,0.87625277,SRA
368,38,HLU,1.459072243,SRA
370,38,SortingAccuracy,0.498197508,SRA
374,38,F1,0.716981727,SRA
377,40,Degree Diversity,0.873074254,Actual Diversity
378,40,Degree Diversity,0.833382241,SRA
379,40,MAE,0.670256567,SRA
380,40,RMSE,0.876087022,SRA
381,40,HLU,1.462599532,SRA
383,40,SortingAccuracy,0.498697895,SRA
387,40,F1,0.717320745,SRA
390,42,Degree Diversity,0.873074254,Actual Diversity
391,42,Degree Diversity,0.83358229,SRA
392,42,MAE,0.67008276,SRA
393,42,RMSE,0.875955307,SRA
394,42,HLU,1.465392026,SRA
396,42,SortingAccuracy,0.498758965,SRA
400,42,F1,0.717501656,SRA
403,44,Degree Diversity,0.873074254,Actual Diversity
404,44,Degree Diversity,0.833899757,SRA
405,44,MAE,0.669903624,SRA
406,44,RMSE,0.875815392,SRA
407,44,HLU,1.468082739,SRA
409,44,SortingAccuracy,0.499095706,SRA
413,44,F1,0.717767269,SRA
416,46,Degree Diversity,0.873074254,Actual Diversity
417,46,Degree Diversity,0.833424512,SRA
418,46,MAE,0.669768763,SRA
419,46,RMSE,0.875711191,SRA
420,46,HLU,1.4701628,SRA
422,46,SortingAccuracy,0.499686059,SRA
426,46,F1,0.718012103,SRA
429,48,Degree Diversity,0.873074254,Actual Diversity
430,48,Degree Diversity,0.833545074,SRA
431,48,MAE,0.669628394,SRA
432,48,RMSE,0.875614059,SRA
433,48,HLU,1.471575058,SRA
435,48,SortingAccuracy,0.500161602,SRA
439,48,F1,0.718126068,SRA
442,50,Degree Diversity,0.873074254,Actual Diversity
443,50,Degree Diversity,0.833697051,SRA
444,50,MAE,0.669474602,SRA
445,50,RMSE,0.875506902,SRA
446,50,HLU,1.474737538,SRA
448,50,SortingAccuracy,0.500288645,SRA
452,50,F1,0.71827246,SRA
455,52,Degree Diversity,0.873074254,Actual Diversity
456,52,Degree Diversity,0.833702894,SRA
457,52,MAE,0.669365811,SRA
458,52,RMSE,0.875432622,SRA
459,52,HLU,1.476775832,SRA
461,52,SortingAccuracy,0.50075939,SRA
465,52,F1,0.718355906,SRA
468,54,Degree Diversity,0.873074254,Actual Diversity
469,54,Degree Diversity,0.83309394,SRA
470,54,MAE,0.669269979,SRA
471,54,RMSE,0.875386834,SRA
472,54,HLU,1.478832171,SRA
474,54,SortingAccuracy,0.500828519,SRA
478,54,F1,0.718510959,SRA
481,56,Degree Diversity,0.873074254,Actual Diversity
482,56,Degree Diversity,0.832851069,SRA
483,56,MAE,0.669185686,SRA
484,56,RMSE,0.875344253,SRA
485,56,HLU,1.481918592,SRA
487,56,SortingAccuracy,0.501008931,SRA
491,56,F1,0.718705855,SRA
494,58,Degree Diversity,0.873074254,Actual Diversity
495,58,Degree Diversity,0.832449592,SRA
496,58,MAE,0.669131935,SRA
497,58,RMSE,0.875320601,SRA
498,58,HLU,1.482675028,SRA
500,58,SortingAccuracy,0.501375244,SRA
504,58,F1,0.718785483,SRA
507,60,Degree Diversity,0.873074254,Actual Diversity
508,60,Degree Diversity,0.832193339,SRA
509,60,MAE,0.669064069,SRA
510,60,RMSE,0.875286186,SRA
511,60,HLU,1.484813029,SRA
513,60,SortingAccuracy,0.501636366,SRA
517,60,F1,0.718854837,SRA
520,65,Degree Diversity,0.873074254,Actual Diversity
521,65,Degree Diversity,0.83249923,SRA
522,65,MAE,0.668894804,SRA
523,65,RMSE,0.875226367,SRA
524,65,HLU,1.488622452,SRA
526,65,SortingAccuracy,0.502096165,SRA
530,65,F1,0.719096495,SRA
533,70,Degree Diversity,0.873074254,Actual Diversity
534,70,Degree Diversity,0.832056879,SRA
535,70,MAE,0.668778825,SRA
536,70,RMSE,0.875188172,SRA
537,70,HLU,1.492190318,SRA
539,70,SortingAccuracy,0.502570285,SRA
543,70,F1,0.71931505,SRA
546,75,Degree Diversity,0.873074254,Actual Diversity
547,75,Degree Diversity,0.83201791,SRA
548,75,MAE,0.668713033,SRA
